congress_num,icpsr_id,state_code,congressional_district_num,state,party_code,name,dim1,dim2,dim1_se,dim2_se,correlation_dim1_dim2_se,log_likelihood,num_votes,num_classification_errors,geom_mean_prob
49,4124,22,0,INDIANA,200,HARRISON,0.169,-0.215,0.0492,0.0593,0.1615,-66.33669,285,29,0.792
49,10234,31,0,IOWA,200,WILSON  J.,0.212,0.119,0.0524,0.051,0.2522,-150.63414,424,77,0.701
49,141,31,0,IOWA,200,ALLISON  W.,0.164,-0.001,0.0361,0.0391,-0.0458,-107.33201,352,56,0.737
49,4801,32,0,KANSAS,200,INGALLS  J.,0.105,0.426,0.0225,0.0624,0.3708,-159.33902,338,83,0.624
49,7489,32,0,KANSAS,200,PLUMB  P.B.,0.181,0.971,0.0639,0.0475,0.1936,-111.88918,295,53,0.684
49,751,51,0,KENTUCK,100,BLACKBURN,-0.685,0.066,0.0883,0.099,0.1126,-131.38139,321,59,0.664
49,560,51,0,KENTUCK,100,BECK  J.B.,-0.608,-0.028,0.0748,0.058,0.1265,-94.59009,350,33,0.763
49,3565,45,0,LOUISIA,100,GIBSON  R.,-0.532,-0.285,0.0711,0.0574,0.1044,-81.03487,261,35,0.733
49,3000,45,0,LOUISIA,100,EUSTIS  J.,-0.545,0.035,0.0836,0.0734,0.2236,-106.84511,355,51,0.74
49,3917,2,0,MAINE,200,HALE  E.,0.161,-0.302,0.0542,0.0419,0.0958,-88.7578,262,46,0.713
49,3385,2,0,MAINE,200,FRYE  W.P.,0.231,-0.423,0.0571,0.0456,-0.0187,-105.26096,376,47,0.756
49,10217,52,0,MARYLAN,100,WILSON  E.,-0.695,-0.343,0.0594,0.0798,0.098,-91.65771,313,44,0.746
49,3709,52,0,MARYLAN,100,GORMAN  A.,-0.468,-0.486,0.0693,0.0438,0.1905,-95.05986,298,46,0.727
49,4462,3,0,MASSACH,200,HOAR  G.F.,0.123,-0.589,0.0426,0.0432,-0.082,-101.82172,371,42,0.76
49,2423,3,0,MASSACH,200,DAWES  H.L.,0.182,-0.483,0.0571,0.0416,-0.0953,-87.48067,332,38,0.768
49,7181,23,0,MICHIGA,200,PALMER  T.,0.22,0.034,0.0644,0.0655,0.2855,-87.90589,326,36,0.764
49,1981,23,0,MICHIGA,200,CONGER  O.,0.246,0.014,0.065,0.0638,0.3172,-131.29474,390,62,0.714
49,6355,33,0,MINNESO,200,MCMILLAN,0.283,-0.186,0.1125,0.085,0.0977,-100.74006,383,44,0.769
49,8165,33,0,MINNESO,200,SABIN  D.M.,0.085,-0.065,0.0352,0.0761,0.1196,-55.86671,212,21,0.768
49,3532,46,0,MISSISS,100,GEORGE  J.,-0.625,0.277,0.0853,0.0751,0.012,-139.08604,360,70,0.68
49,9793,46,0,MISSISS,100,WALTHALL,-0.567,0.136,0.1014,0.1032,0.196,-126.25021,427,58,0.744
49,9665,34,0,MISSOUR,100,VEST  G.G.,-0.763,0.564,0.1063,0.0695,-0.0177,-147.4261,353,67,0.659
49,1892,34,0,MISSOUR,100,COCKRELL,-0.706,0.528,0.1018,0.0399,-0.0496,-98.78524,340,55,0.748
49,9643,35,0,NEBRASK,200,VANWYCK,0.039,0.999,0.0517,0.0981,-0.029,-81.71972,253,41,0.724
49,5951,35,0,NEBRASK,200,MANDERSON,0.134,0.012,0.0305,0.0503,0.2083,-95.74754,330,43,0.748
49,5046,65,0,NEVADA,200,JONES  J.P.,0.063,0.101,0.027,0.0618,0.3235,-72.4681,205,32,0.702
49,3045,65,0,NEVADA,100,FAIR  J.G.,-0.48,-0.207,0.0791,0.0784,0.1371,-41.43747,115,15,0.697
49,765,4,0,NEW HAM,200,BLAIR  H.W.,0.217,-0.297,0.0616,0.0533,-0.0068,-103.07188,384,43,0.765
49,7447,4,0,NEW HAM,200,PIKE  A.F.,0.044,-0.695,0.0359,0.1002,-0.1862,-13.89445,58,5,0.787
49,1683,4,0,NEW HAM,200,CHENEY  P.,0.123,-0.49,0.1071,0.1788,0.042,-30.46145,117,15,0.771
49,8379,12,0,NEW JER,200,SEWELL  W.,0.098,-0.335,0.043,0.0664,0.1321,-86.06279,229,46,0.687
49,6375,12,0,NEW JER,100,MCPHERSON,-0.498,-0.828,0.0846,0.0412,0.396,-68.0409,197,36,0.708
49,6514,13,0,NEW YOR,200,MILLER  W.,0.173,-0.275,0.0484,0.0579,0.0544,-81.38818,324,35,0.778
49,3024,13,0,NEW YOR,200,EVARTS  W.,0.149,-0.456,0.0448,0.0603,-0.0703,-98.86237,354,49,0.756
49,7737,47,0,NORTH C,100,RANSOM  M.,-0.547,-0.219,0.0633,0.0401,0.1367,-103.44701,290,57,0.7
49,9601,47,0,NORTH C,100,VANCE  Z.B.,-0.804,0.246,0.0933,0.0796,0.1693,-87.51691,337,40,0.771
49,7272,24,0,OHIO,100,PAYNE  H.B.,-0.328,-0.368,0.0319,0.0571,0.1184,-123.68803,347,53,0.7
49,8454,24,0,OHIO,200,SHERMAN  J.,0.072,-0.232,0.03,0.0432,-0.0534,-154.4574,377,83,0.664
49,2649,72,0,OREGON,200,DOLPH  J.N.,0.173,-0.12,0.0467,0.0553,0.1274,-126.61907,352,58,0.698
49,6565,72,0,OREGON,200,MITCHELL,0.171,0.34,0.0315,0.0587,0.2304,-167.69707,393,86,0.653
49,1435,14,0,PENNSYL,200,CAMERON  J.,0.094,0.113,0.0295,0.0414,0.1615,-106.07669,279,55,0.684
49,6566,14,0,PENNSYL,200,MITCHELL,0.211,-0.415,0.083,0.073,-0.0293,-24.74874,89,12,0.757
49,1613,5,0,RHODE I,200,CHACE  J.,0.198,-0.359,0.0626,0.0787,0.0744,-92.88162,231,51,0.669
49,71,5,0,RHODE I,200,ALDRICH  N.,0.197,-0.718,0.0524,0.0564,-0.1779,-71.02948,218,37,0.722
49,4020,48,0,SOUTH C,100,HAMPTON  W.,-0.619,-0.457,0.0572,0.048,0.1716,-92.43156,282,36,0.721
49,1344,48,0,SOUTH C,100,BUTLER  M.,-0.556,-0.418,0.0586,0.0345,0.1898,-119.18034,310,65,0.681
49,4104,54,0,TENNESS,100,HARRIS  I.,-0.714,0.082,0.0792,0.051,0.061,-123.23735,407,62,0.739
49,4852,54,0,TENNESS,100,JACKSON  H.,-0.525,-0.085,0.0817,0.0749,0.1067,-20.36916,79,9,0.773
49,10076,54,0,TENNESS,100,WHITTHORNE,-0.713,-0.09,0.0847,0.1111,0.27,-111.5341,317,55,0.703
49,6093,49,0,TEXAS,100,MAXEY  S.B.,-0.809,0.27,0.0969,0.1145,-0.0667,-126.03961,363,55,0.707
49,1915,49,0,TEXAS,100,COKE  R.,-0.788,0.377,0.0957,0.0605,-0.1615,-118.82346,415,49,0.751
49,6696,6,0,VERMONT,200,MORRILL  J.,0.179,-0.947,0.0572,0.061,-0.2606,-78.77927,292,43,0.764
49,2855,6,0,VERMONT,200,EDMUNDS  G.,0.206,-0.983,0.0638,0.1204,-0.2545,-130.071,353,62,0.692
49,7894,40,0,VIRGINI,200,RIDDLEBERGE,-0.088,0.201,0.0211,0.0673,0.1486,-122.66965,241,59,0.601
49,5926,40,0,VIRGINI,200,MAHONE  W.,0.284,0.3,0.0964,0.0849,0.4321,-63.58821,254,24,0.779
49,1432,56,0,WEST VI,100,CAMDEN  J.,-0.553,-0.571,0.0662,0.0496,0.1602,-39.82742,144,20,0.758
49,5173,56,0,WEST VI,100,KENNA  J.E.,-0.584,-0.142,0.0772,0.0682,-0.1118,-101.45299,268,47,0.685
49,8800,25,0,WISCONS,200,SPOONER  J.,0.108,-0.189,0.0384,0.0644,-0.0229,-95.79482,385,38,0.78
49,8239,25,0,WISCONS,200,SAWYER  P.,0.237,-0.1,0.07,0.0469,0.2116,-102.68058,376,48,0.761
50,7644,41,0,ALABAMA,100,PUGH  J.L.,-0.562,0.025,0.0634,0.0524,-0.0493,-62.66698,277,26,0.798
50,6682,41,0,ALABAMA,100,MORGAN  J.,-0.671,-0.341,0.0393,0.0413,-0.0333,-63.40166,243,34,0.77
50,674,42,0,ARKANSA,100,BERRY  J.H.,-0.82,0.471,0.0904,0.1252,-0.1505,-44.78698,330,23,0.873
50,5042,42,0,ARKANSA,100,JONES  J.K.,-0.705,0.211,0.0855,0.088,0.1148,-61.88428,282,36,0.803
50,8836,71,0,CALIFOR,200,STANFORD,0.066,-0.035,0.0337,0.0764,0.3596,-16.50566,71,9,0.793
50,4266,71,0,CALIFOR,100,HEARST  G.,-0.414,-0.001,0.0642,0.0964,0.0688,-31.30247,92,17,0.712
50,9246,62,0,COLORAD,200,TELLER  H.,0.11,0.178,0.0592,0.0658,0.2854,-62.33427,328,32,0.827
50,900,62,0,COLORAD,200,BOWEN  T.M.,0.204,0.331,0.0534,0.0769,0.2592,-15.91767,134,4,0.888
50,7482,1,0,CONNECT,200,PLATT  O.H.,0.331,-0.949,0.0512,0.1136,-0.5387,-44.90976,287,24,0.855
50,4220,1,0,CONNECT,200,HAWLEY  J.,0.154,-0.708,0.0427,0.0433,-0.0526,-50.89008,315,26,0.851
50,3765,11,0,DELAWAR,100,GRAY  G.,-0.626,-0.641,0.1206,0.0915,0.5644,-45.68829,272,23,0.845
50,8222,11,0,DELAWAR,100,SAULSBURY,-0.83,-0.341,0.0873,0.0881,0.1178,-41.79943,244,25,0.843
50,1425,43,0,FLORIDA,100,CALL  W.,-0.528,0.058,0.0659,0.0597,-0.0117,-79.34892,273,34,0.748
50,7227,43,0,FLORIDA,100,PASCO  S.,-0.685,-0.157,0.0708,0.0857,0.3599,-36.76474,235,18,0.855
50,1953,44,0,GEORGIA,100,COLQUITT,-0.6,-0.104,0.0711,0.0671,0.1397,-51.79435,211,27,0.782
50,1126,44,0,GEORGIA,100,BROWN  J.E.,-0.37,-0.624,0.0775,0.0673,0.0583,-81.23114,234,39,0.707
50,2239,21,0,ILLINOI,200,CULLOM  S.,0.151,-0.15,0.0418,0.0555,-0.0196,-47.10094,333,20,0.868
50,3075,21,0,ILLINOI,200,FARWELL  C.,0.138,-0.278,0.0483,0.0751,0.0886,-26.40555,181,14,0.864
50,9526,22,0,INDIANA,100,TURPIE  D.,-0.446,0.188,0.0483,0.1127,0.19,-55.12473,274,25,0.818
